Volume,Volume Weighted,Open Price,Close Price,Highest Price,Lowest Price,Timestamp,Number of Transaction,Stock Name,Strike,Strike Date,Stock Close Price
4783,1.1333,1.36,1.07,1.36,1.0,2024-03-18 15:30:00,389,SPY,514,2024-03-18,514.16
3025,1.1372,1.06,1.2,1.26,1.01,2024-03-18 15:35:00,292,SPY,514,2024-03-18,514.44
1799,1.204,1.2,1.24,1.25,1.13,2024-03-18 15:40:00,167,SPY,514,2024-03-18,514.49
2678,1.1919,1.24,1.11,1.28,1.06,2024-03-18 15:45:00,193,SPY,514,2024-03-18,514.3
3615,0.9787,1.13,0.99,1.16,0.92,2024-03-18 15:50:00,307,SPY,514,2024-03-18,514.065
3655,1.0335,0.99,1.07,1.1,0.94,2024-03-18 15:55:00,394,SPY,514,2024-03-18,514.225
3024,0.9438,1.07,0.9,1.07,0.86,2024-03-18 16:00:00,369,SPY,514,2024-03-18,513.9011
4751,0.9755,0.89,0.99,1.05,0.86,2024-03-18 16:05:00,395,SPY,514,2024-03-18,514.11
4557,1.0991,1.0,1.18,1.2,0.98,2024-03-18 16:10:00,449,SPY,514,2024-03-18,514.475
2320,1.0947,1.19,1.11,1.19,1.04,2024-03-18 16:15:00,306,SPY,514,2024-03-18,514.36
1905,1.0826,1.1,1.06,1.14,1.02,2024-03-18 16:20:00,158,SPY,514,2024-03-18,514.225
2783,1.0037,1.03,1.01,1.08,0.94,2024-03-18 16:25:00,282,SPY,514,2024-03-18,514.17
1937,0.9382,1.03,0.94,1.03,0.91,2024-03-18 16:30:00,231,SPY,514,2024-03-18,514.0493
3175,0.9528,0.93,0.91,0.99,0.89,2024-03-18 16:35:00,217,SPY,514,2024-03-18,514.04
6527,0.9854,0.93,1.04,1.06,0.87,2024-03-18 16:40:00,432,SPY,514,2024-03-18,514.2498
2044,0.986,1.01,0.88,1.04,0.88,2024-03-18 16:45:00,213,SPY,514,2024-03-18,513.94
8111,0.7809,0.88,0.79,0.91,0.7,2024-03-18 16:50:00,775,SPY,514,2024-03-18,513.69
5652,0.7272,0.78,0.71,0.79,0.69,2024-03-18 16:55:00,436,SPY,514,2024-03-18,513.5134
7028,0.7277,0.7,0.69,0.79,0.67,2024-03-18 17:00:00,501,SPY,514,2024-03-18,513.47
6302,0.768,0.68,0.77,0.83,0.66,2024-03-18 17:05:00,470,SPY,514,2024-03-18,513.71
2490,0.7358,0.75,0.76,0.79,0.69,2024-03-18 17:10:00,253,SPY,514,2024-03-18,513.69
1934,0.714,0.76,0.74,0.76,0.68,2024-03-18 17:15:00,198,SPY,514,2024-03-18,513.69
7474,0.8368,0.75,0.89,0.89,0.74,2024-03-18 17:20:00,736,SPY,514,2024-03-18,514.025
8466,0.9039,0.89,0.95,0.96,0.83,2024-03-18 17:25:00,782,SPY,514,2024-03-18,514.2
5125,0.8782,0.96,0.8,0.98,0.76,2024-03-18 17:30:00,623,SPY,514,2024-03-18,513.9001
6214,0.6653,0.78,0.61,0.8,0.59,2024-03-18 17:35:00,694,SPY,514,2024-03-18,513.47
4963,0.5981,0.61,0.61,0.64,0.56,2024-03-18 17:40:00,517,SPY,514,2024-03-18,513.48
5781,0.6112,0.61,0.66,0.66,0.56,2024-03-18 17:45:00,462,SPY,514,2024-03-18,513.67
4385,0.6646,0.67,0.62,0.7,0.58,2024-03-18 17:50:00,406,SPY,514,2024-03-18,513.53
3664,0.6599,0.6,0.72,0.74,0.58,2024-03-18 17:55:00,390,SPY,514,2024-03-18,513.8
4429,0.7105,0.72,0.73,0.76,0.65,2024-03-18 18:00:00,393,SPY,514,2024-03-18,513.85
4372,0.7002,0.73,0.75,0.77,0.64,2024-03-18 18:05:00,350,SPY,514,2024-03-18,513.92
5961,0.7783,0.76,0.71,0.84,0.68,2024-03-18 18:10:00,612,SPY,514,2024-03-18,513.845
3253,0.7642,0.7,0.8,0.81,0.69,2024-03-18 18:15:00,286,SPY,514,2024-03-18,514.05
4930,0.74,0.8,0.77,0.81,0.68,2024-03-18 18:20:00,276,SPY,514,2024-03-18,514.0
7405,0.8834,0.76,0.95,0.96,0.75,2024-03-18 18:25:00,702,SPY,514,2024-03-18,514.3402
3339,0.8919,0.95,0.89,0.95,0.83,2024-03-18 18:30:00,350,SPY,514,2024-03-18,514.255
2187,0.901,0.89,0.85,0.96,0.81,2024-03-18 18:35:00,250,SPY,514,2024-03-18,514.201
15337,0.6045,0.85,0.57,0.85,0.47,2024-03-18 18:40:00,878,SPY,514,2024-03-18,513.53
6073,0.5554,0.57,0.59,0.6,0.49,2024-03-18 18:45:00,425,SPY,514,2024-03-18,513.7312
3140,0.5879,0.6,0.59,0.63,0.56,2024-03-18 18:50:00,316,SPY,514,2024-03-18,513.705
3085,0.5828,0.59,0.61,0.64,0.52,2024-03-18 18:55:00,239,SPY,514,2024-03-18,513.79
2489,0.5835,0.61,0.57,0.62,0.54,2024-03-18 19:00:00,192,SPY,514,2024-03-18,513.775
6702,0.6308,0.55,0.68,0.74,0.52,2024-03-18 19:05:00,520,SPY,514,2024-03-18,514.04
2898,0.6757,0.67,0.63,0.72,0.62,2024-03-18 19:10:00,241,SPY,514,2024-03-18,513.995
2180,0.6602,0.64,0.69,0.7,0.62,2024-03-18 19:15:00,171,SPY,514,2024-03-18,514.09
2884,0.6342,0.66,0.58,0.7,0.56,2024-03-18 19:20:00,245,SPY,514,2024-03-18,513.911
3736,0.5553,0.58,0.55,0.63,0.51,2024-03-18 19:25:00,306,SPY,514,2024-03-18,513.855
4084,0.5591,0.56,0.6,0.64,0.51,2024-03-18 19:30:00,449,SPY,514,2024-03-18,514.055
1831,0.5031,0.59,0.42,0.59,0.42,2024-03-18 19:35:00,254,SPY,514,2024-03-18,513.7
1824,0.42,0.43,0.43,0.46,0.37,2024-03-18 19:40:00,212,SPY,514,2024-03-18,513.78
1387,0.4127,0.43,0.37,0.49,0.36,2024-03-18 19:45:00,186,SPY,514,2024-03-18,513.68
8131,0.2065,0.37,0.15,0.37,0.13,2024-03-18 19:50:00,702,SPY,514,2024-03-18,512.7885
8548,0.1284,0.15,0.09,0.18,0.06,2024-03-18 19:55:00,399,SPY,514,2024-03-18,512.87
17778,0.9486,0.75,1.06,1.08,0.7,2024-03-18 13:30:00,2966,SPY,515,2024-03-18,514.71
9884,1.0112,1.06,0.87,1.11,0.86,2024-03-18 13:35:00,1716,SPY,515,2024-03-18,514.27
7468,0.9682,0.86,0.88,1.06,0.86,2024-03-18 13:40:00,1250,SPY,515,2024-03-18,514.38
8425,0.8651,0.89,0.79,1.01,0.74,2024-03-18 13:45:00,1367,SPY,515,2024-03-18,514.19
5883,0.771,0.8,0.76,0.84,0.71,2024-03-18 13:50:00,916,SPY,515,2024-03-18,514.12
7888,0.6984,0.76,0.64,0.79,0.63,2024-03-18 13:55:00,1089,SPY,515,2024-03-18,513.835
8350,0.7124,0.67,0.75,0.77,0.64,2024-03-18 14:00:00,888,SPY,515,2024-03-18,514.18
14246,0.8254,0.75,0.9,0.93,0.66,2024-03-18 14:05:00,1900,SPY,515,2024-03-18,514.63
15745,0.97,0.9,0.89,1.06,0.86,2024-03-18 14:10:00,2236,SPY,515,2024-03-18,514.6601
6241,0.9635,0.9,0.99,1.06,0.89,2024-03-18 14:15:00,885,SPY,515,2024-03-18,514.88
9398,1.0629,1.01,1.17,1.19,0.97,2024-03-18 14:20:00,1226,SPY,515,2024-03-18,515.24
9829,1.2144,1.19,1.13,1.31,1.08,2024-03-18 14:25:00,1811,SPY,515,2024-03-18,515.18
4781,1.0626,1.14,1.03,1.17,0.95,2024-03-18 14:30:00,736,SPY,515,2024-03-18,515.03
3665,1.0807,1.03,1.06,1.14,0.98,2024-03-18 14:35:00,548,SPY,515,2024-03-18,515.1
3049,1.0687,1.08,0.99,1.14,0.96,2024-03-18 14:40:00,400,SPY,515,2024-03-18,514.945
4377,0.9974,0.99,1.07,1.11,0.9,2024-03-18 14:45:00,656,SPY,515,2024-03-18,515.13
1829,1.0261,1.07,1.03,1.08,0.96,2024-03-18 14:50:00,306,SPY,515,2024-03-18,515.055
3300,1.0108,1.02,1.07,1.08,0.94,2024-03-18 14:55:00,321,SPY,515,2024-03-18,515.14
3482,1.0016,1.08,0.96,1.12,0.9,2024-03-18 15:00:00,490,SPY,515,2024-03-18,514.92
2111,0.9392,0.96,0.97,1.0,0.86,2024-03-18 15:05:00,421,SPY,515,2024-03-18,514.95
5987,0.8333,0.97,0.81,0.97,0.77,2024-03-18 15:10:00,678,SPY,515,2024-03-18,514.625
5736,0.726,0.82,0.74,0.82,0.66,2024-03-18 15:15:00,748,SPY,515,2024-03-18,514.49
4414,0.7778,0.73,0.78,0.82,0.7,2024-03-18 15:20:00,571,SPY,515,2024-03-18,514.63
3222,0.7688,0.78,0.8,0.81,0.71,2024-03-18 15:25:00,432,SPY,515,2024-03-18,514.68
8669,0.641,0.8,0.59,0.81,0.55,2024-03-18 15:30:00,889,SPY,515,2024-03-18,514.16
5122,0.6475,0.59,0.69,0.72,0.55,2024-03-18 15:35:00,643,SPY,515,2024-03-18,514.44
1927,0.679,0.68,0.7,0.72,0.62,2024-03-18 15:40:00,293,SPY,515,2024-03-18,514.49
3871,0.6697,0.7,0.62,0.73,0.58,2024-03-18 15:45:00,431,SPY,515,2024-03-18,514.3
12045,0.5311,0.62,0.53,0.64,0.48,2024-03-18 15:50:00,659,SPY,515,2024-03-18,514.065
3565,0.5575,0.54,0.59,0.61,0.51,2024-03-18 15:55:00,458,SPY,515,2024-03-18,514.225
4223,0.5086,0.59,0.47,0.59,0.45,2024-03-18 16:00:00,568,SPY,515,2024-03-18,513.9011
2647,0.5126,0.48,0.53,0.56,0.45,2024-03-18 16:05:00,408,SPY,515,2024-03-18,514.11
8902,0.6132,0.53,0.66,0.68,0.53,2024-03-18 16:10:00,795,SPY,515,2024-03-18,514.475
3013,0.6034,0.66,0.61,0.66,0.56,2024-03-18 16:15:00,460,SPY,515,2024-03-18,514.36
2746,0.5867,0.61,0.56,0.63,0.55,2024-03-18 16:20:00,304,SPY,515,2024-03-18,514.225
3849,0.5483,0.57,0.54,0.59,0.5,2024-03-18 16:25:00,456,SPY,515,2024-03-18,514.17
3832,0.4983,0.54,0.5,0.56,0.48,2024-03-18 16:30:00,430,SPY,515,2024-03-18,514.0493
2122,0.5008,0.5,0.49,0.53,0.47,2024-03-18 16:35:00,296,SPY,515,2024-03-18,514.04
4807,0.5309,0.5,0.56,0.57,0.45,2024-03-18 16:40:00,515,SPY,515,2024-03-18,514.2498
2037,0.518,0.55,0.47,0.56,0.46,2024-03-18 16:45:00,311,SPY,515,2024-03-18,513.94
8816,0.4013,0.47,0.4,0.48,0.35,2024-03-18 16:50:00,979,SPY,515,2024-03-18,513.69
3025,0.3622,0.39,0.35,0.4,0.34,2024-03-18 16:55:00,459,SPY,515,2024-03-18,513.5134
5403,0.3647,0.35,0.34,0.4,0.33,2024-03-18 17:00:00,552,SPY,515,2024-03-18,513.47
2647,0.3872,0.35,0.39,0.43,0.34,2024-03-18 17:05:00,398,SPY,515,2024-03-18,513.71
1170,0.3692,0.39,0.37,0.4,0.34,2024-03-18 17:10:00,259,SPY,515,2024-03-18,513.69
1600,0.3506,0.37,0.36,0.38,0.33,2024-03-18 17:15:00,196,SPY,515,2024-03-18,513.69
4771,0.4235,0.37,0.45,0.45,0.37,2024-03-18 17:20:00,586,SPY,515,2024-03-18,514.025
6530,0.4613,0.46,0.49,0.5,0.42,2024-03-18 17:25:00,684,SPY,515,2024-03-18,514.2
8268,0.4489,0.49,0.38,0.5,0.37,2024-03-18 17:30:00,652,SPY,515,2024-03-18,513.9001
6575,0.3283,0.39,0.29,0.4,0.27,2024-03-18 17:35:00,635,SPY,515,2024-03-18,513.47
4418,0.2776,0.28,0.29,0.3,0.26,2024-03-18 17:40:00,433,SPY,515,2024-03-18,513.48
3128,0.2746,0.29,0.3,0.3,0.25,2024-03-18 17:45:00,283,SPY,515,2024-03-18,513.67
1552,0.3076,0.3,0.28,0.33,0.26,2024-03-18 17:50:00,246,SPY,515,2024-03-18,513.53
1777,0.3043,0.28,0.33,0.35,0.26,2024-03-18 17:55:00,212,SPY,515,2024-03-18,513.8
1650,0.3346,0.34,0.34,0.36,0.3,2024-03-18 18:00:00,207,SPY,515,2024-03-18,513.85
938,0.3302,0.35,0.36,0.36,0.29,2024-03-18 18:05:00,186,SPY,515,2024-03-18,513.92
2886,0.3734,0.35,0.32,0.4,0.31,2024-03-18 18:10:00,374,SPY,515,2024-03-18,513.845
1351,0.3529,0.32,0.37,0.38,0.3,2024-03-18 18:15:00,194,SPY,515,2024-03-18,514.05
1667,0.3322,0.36,0.35,0.38,0.3,2024-03-18 18:20:00,225,SPY,515,2024-03-18,514.0
5639,0.4252,0.35,0.45,0.47,0.34,2024-03-18 18:25:00,641,SPY,515,2024-03-18,514.3402
2521,0.4162,0.45,0.42,0.46,0.39,2024-03-18 18:30:00,377,SPY,515,2024-03-18,514.255
2082,0.4237,0.41,0.41,0.46,0.37,2024-03-18 18:35:00,369,SPY,515,2024-03-18,514.201
11885,0.2773,0.4,0.25,0.4,0.2,2024-03-18 18:40:00,896,SPY,515,2024-03-18,513.53
4596,0.2272,0.25,0.26,0.26,0.21,2024-03-18 18:45:00,400,SPY,515,2024-03-18,513.7312
1791,0.2506,0.25,0.25,0.27,0.23,2024-03-18 18:50:00,191,SPY,515,2024-03-18,513.705
1618,0.2402,0.25,0.26,0.27,0.21,2024-03-18 18:55:00,150,SPY,515,2024-03-18,513.79
857,0.2377,0.24,0.24,0.26,0.22,2024-03-18 19:00:00,145,SPY,515,2024-03-18,513.775
3043,0.2716,0.23,0.27,0.32,0.21,2024-03-18 19:05:00,271,SPY,515,2024-03-18,514.04
1955,0.2775,0.27,0.25,0.3,0.25,2024-03-18 19:10:00,237,SPY,515,2024-03-18,513.995
2357,0.2633,0.25,0.28,0.29,0.25,2024-03-18 19:15:00,218,SPY,515,2024-03-18,514.09
2932,0.2595,0.27,0.22,0.29,0.22,2024-03-18 19:20:00,249,SPY,515,2024-03-18,513.911
4508,0.21,0.22,0.2,0.24,0.19,2024-03-18 19:25:00,404,SPY,515,2024-03-18,513.855
7005,0.202,0.21,0.22,0.24,0.18,2024-03-18 19:30:00,784,SPY,515,2024-03-18,514.055
2783,0.1672,0.21,0.13,0.22,0.13,2024-03-18 19:35:00,292,SPY,515,2024-03-18,513.7
947,0.129,0.14,0.13,0.15,0.11,2024-03-18 19:40:00,164,SPY,515,2024-03-18,513.78
1995,0.1145,0.12,0.11,0.16,0.1,2024-03-18 19:45:00,206,SPY,515,2024-03-18,513.68
3659,0.0555,0.1,0.03,0.12,0.03,2024-03-18 19:50:00,327,SPY,515,2024-03-18,512.7885
10450,0.0279,0.04,0.03,0.05,0.01,2024-03-18 19:55:00,222,SPY,515,2024-03-18,512.87
11014,0.5541,0.43,0.65,0.66,0.39,2024-03-18 13:30:00,1543,SPY,516,2024-03-18,514.71
5942,0.6041,0.64,0.5,0.69,0.5,2024-03-18 13:35:00,978,SPY,516,2024-03-18,514.27
3986,0.5676,0.51,0.5,0.63,0.5,2024-03-18 13:40:00,591,SPY,516,2024-03-18,514.38
3807,0.479,0.5,0.44,0.59,0.41,2024-03-18 13:45:00,779,SPY,516,2024-03-18,514.19
3207,0.4318,0.45,0.43,0.48,0.4,2024-03-18 13:50:00,499,SPY,516,2024-03-18,514.12
5650,0.3868,0.43,0.34,0.44,0.34,2024-03-18 13:55:00,549,SPY,516,2024-03-18,513.835
1507,0.3932,0.35,0.41,0.43,0.34,2024-03-18 14:00:00,404,SPY,516,2024-03-18,514.18
6450,0.4784,0.42,0.49,0.52,0.36,2024-03-18 14:05:00,856,SPY,516,2024-03-18,514.63
7319,0.5411,0.5,0.49,0.6,0.47,2024-03-18 14:10:00,1205,SPY,516,2024-03-18,514.6601
3011,0.5375,0.49,0.56,0.6,0.49,2024-03-18 14:15:00,501,SPY,516,2024-03-18,514.88
6147,0.6059,0.56,0.69,0.7,0.55,2024-03-18 14:20:00,861,SPY,516,2024-03-18,515.24
12245,0.718,0.69,0.64,0.79,0.61,2024-03-18 14:25:00,1696,SPY,516,2024-03-18,515.18
4457,0.5964,0.64,0.59,0.68,0.52,2024-03-18 14:30:00,782,SPY,516,2024-03-18,515.03
3577,0.6292,0.59,0.61,0.67,0.55,2024-03-18 14:35:00,647,SPY,516,2024-03-18,515.1
