Volume,Volume Weighted,Open Price,Close Price,Highest Price,Lowest Price,Timestamp,Number of Transaction,Stock Name,Strike
1,10.1,10.1,10.1,10.1,10.1,2024-03-18 14:20:00,1,SPY,505
1,10.4,10.4,10.4,10.4,10.4,2024-03-18 14:25:00,1,SPY,505
2,10.06,10.14,9.98,10.14,9.98,2024-03-18 14:30:00,2,SPY,505
1,10.1,10.1,10.1,10.1,10.1,2024-03-18 14:40:00,1,SPY,505
1,9.98,9.98,9.98,9.98,9.98,2024-03-18 14:50:00,1,SPY,505
10,10.03,10.03,10.03,10.03,10.03,2024-03-18 14:55:00,1,SPY,505
1,9.63,9.63,9.63,9.63,9.63,2024-03-18 15:10:00,1,SPY,505
1,9.6,9.6,9.6,9.6,9.6,2024-03-18 15:15:00,1,SPY,505
2,9.34,9.62,9.06,9.62,9.06,2024-03-18 15:30:00,2,SPY,505
1,9.6,9.6,9.6,9.6,9.6,2024-03-18 15:40:00,1,SPY,505
1,9.3,9.3,9.3,9.3,9.3,2024-03-18 15:55:00,1,SPY,505
1,8.84,8.84,8.84,8.84,8.84,2024-03-18 16:00:00,1,SPY,505
1,8.6,8.6,8.6,8.6,8.6,2024-03-18 16:50:00,1,SPY,505
1,8.49,8.49,8.49,8.49,8.49,2024-03-18 17:00:00,1,SPY,505
1,9.01,9.01,9.01,9.01,9.01,2024-03-18 17:20:00,1,SPY,505
52,9.0,9.0,9.0,9.0,9.0,2024-03-18 18:15:00,3,SPY,505
1,8.95,8.95,8.95,8.95,8.95,2024-03-18 18:40:00,1,SPY,505
5,8.512,8.55,8.49,8.55,8.49,2024-03-18 18:45:00,4,SPY,505
1,8.78,8.78,8.78,8.78,8.78,2024-03-18 19:00:00,1,SPY,505
5,8.85,8.85,8.85,8.85,8.85,2024-03-18 19:35:00,1,SPY,505
10,8.74,8.74,8.74,8.74,8.74,2024-03-18 19:40:00,1,SPY,505
2,8.45,8.4,8.5,8.5,8.4,2024-03-18 19:50:00,2,SPY,505
7,7.58,7.58,7.58,7.58,7.58,2024-03-18 19:55:00,1,SPY,505
36,8.4917,8.06,8.57,8.69,8.0,2024-03-18 13:30:00,14,SPY,506
16,8.5762,8.75,8.39,8.78,8.39,2024-03-18 13:35:00,11,SPY,506
54,8.6359,8.63,8.71,8.71,8.63,2024-03-18 13:40:00,2,SPY,506
56,8.5771,8.58,8.42,8.58,8.42,2024-03-18 13:45:00,3,SPY,506
3,8.2367,8.3,8.16,8.3,8.16,2024-03-18 13:50:00,3,SPY,506
1,7.94,7.94,7.94,7.94,7.94,2024-03-18 13:55:00,1,SPY,506
4,8.8325,8.79,8.96,8.96,8.79,2024-03-18 14:10:00,2,SPY,506
3,8.9433,8.91,9.01,9.01,8.91,2024-03-18 14:15:00,2,SPY,506
8,9.26,9.26,9.26,9.26,9.26,2024-03-18 14:25:00,1,SPY,506
1,9.17,9.17,9.17,9.17,9.17,2024-03-18 14:30:00,1,SPY,506
1,9.0,9.0,9.0,9.0,9.0,2024-03-18 14:40:00,1,SPY,506
1,8.61,8.61,8.61,8.61,8.61,2024-03-18 15:25:00,1,SPY,506
1,8.32,8.32,8.32,8.32,8.32,2024-03-18 15:30:00,1,SPY,506
1,8.15,8.15,8.15,8.15,8.15,2024-03-18 16:35:00,1,SPY,506
1,7.47,7.47,7.47,7.47,7.47,2024-03-18 17:40:00,1,SPY,506
2,7.6,7.6,7.6,7.6,7.6,2024-03-18 17:45:00,1,SPY,506
1,7.96,7.96,7.96,7.96,7.96,2024-03-18 18:10:00,1,SPY,506
3,8.0,8.0,8.0,8.0,8.0,2024-03-18 18:15:00,1,SPY,506
2,8.2,8.2,8.2,8.2,8.2,2024-03-18 18:35:00,1,SPY,506
2,8.19,8.19,8.19,8.19,8.19,2024-03-18 18:40:00,1,SPY,506
2,7.48,7.48,7.48,7.48,7.48,2024-03-18 18:45:00,1,SPY,506
2,7.78,7.78,7.78,7.78,7.78,2024-03-18 19:05:00,2,SPY,506
21,8.0271,8.01,8.07,8.07,8.01,2024-03-18 19:20:00,2,SPY,506
1,7.74,7.74,7.74,7.74,7.74,2024-03-18 19:25:00,1,SPY,506
5,7.82,7.82,7.82,7.82,7.82,2024-03-18 19:30:00,4,SPY,506
12,7.59,7.59,7.59,7.59,7.59,2024-03-18 19:40:00,1,SPY,506
3,7.77,7.85,7.73,7.85,7.73,2024-03-18 19:45:00,3,SPY,506
173,7.384,7.09,7.6,7.8,6.95,2024-03-18 13:30:00,32,SPY,507
76,7.5278,7.8,7.66,7.8,7.45,2024-03-18 13:35:00,8,SPY,507
88,7.6474,7.4,7.44,7.73,7.4,2024-03-18 13:40:00,7,SPY,507
57,7.5709,7.48,7.16,7.58,7.16,2024-03-18 13:45:00,4,SPY,507
2,7.095,7.04,7.15,7.15,7.04,2024-03-18 13:50:00,2,SPY,507
7,6.9985,6.97,7.02,7.02,6.97,2024-03-18 13:55:00,3,SPY,507
8,7.3425,7.23,7.63,7.63,7.23,2024-03-18 14:05:00,4,SPY,507
13,7.7261,7.65,7.66,7.95,7.65,2024-03-18 14:10:00,6,SPY,507
5,8.32,8.32,8.32,8.32,8.32,2024-03-18 14:25:00,1,SPY,507
3,8.1333,8.1,8.15,8.15,8.1,2024-03-18 14:35:00,2,SPY,507
2,8.12,8.07,8.17,8.17,8.07,2024-03-18 14:40:00,2,SPY,507
2,8.08,8.08,8.08,8.08,8.08,2024-03-18 14:45:00,1,SPY,507
5,7.99,7.99,7.99,7.99,7.99,2024-03-18 14:50:00,1,SPY,507
14,8.0293,7.96,8.06,8.06,7.95,2024-03-18 14:55:00,3,SPY,507
11,7.9864,8.15,7.85,8.15,7.85,2024-03-18 15:00:00,4,SPY,507
6,7.5817,7.6,7.49,7.6,7.49,2024-03-18 15:15:00,2,SPY,507
2,7.17,7.2,7.14,7.2,7.14,2024-03-18 15:35:00,2,SPY,507
2,7.355,7.37,7.34,7.37,7.34,2024-03-18 15:50:00,2,SPY,507
1,7.4,7.4,7.4,7.4,7.4,2024-03-18 16:10:00,1,SPY,507
2,7.36,7.36,7.36,7.36,7.36,2024-03-18 16:15:00,2,SPY,507
1,7.28,7.28,7.28,7.28,7.28,2024-03-18 16:25:00,1,SPY,507
2,7.045,7.01,7.08,7.08,7.01,2024-03-18 16:35:00,2,SPY,507
97,6.6116,6.61,6.7,6.7,6.61,2024-03-18 16:50:00,3,SPY,507
10,6.54,6.48,6.6,6.6,6.48,2024-03-18 17:00:00,2,SPY,507
2,6.78,6.78,6.78,6.78,6.78,2024-03-18 17:05:00,1,SPY,507
134,6.6034,6.7,6.68,6.7,6.58,2024-03-18 17:10:00,5,SPY,507
50,6.6452,6.66,6.66,6.7,6.58,2024-03-18 17:15:00,13,SPY,507
25,6.8676,6.75,7.03,7.03,6.75,2024-03-18 17:20:00,6,SPY,507
2,7.06,7.17,6.95,7.17,6.95,2024-03-18 17:25:00,2,SPY,507
1,6.52,6.52,6.52,6.52,6.52,2024-03-18 17:35:00,1,SPY,507
3,6.4,6.4,6.4,6.4,6.4,2024-03-18 17:45:00,1,SPY,507
5,6.9,6.9,6.9,6.9,6.9,2024-03-18 18:20:00,1,SPY,507
11,7.2055,7.27,6.56,7.27,6.56,2024-03-18 18:40:00,2,SPY,507
1,6.39,6.39,6.39,6.39,6.39,2024-03-18 18:45:00,1,SPY,507
1,6.65,6.65,6.65,6.65,6.65,2024-03-18 18:50:00,1,SPY,507
1,6.71,6.71,6.71,6.71,6.71,2024-03-18 19:05:00,1,SPY,507
7,6.99,6.99,6.99,6.99,6.99,2024-03-18 19:10:00,1,SPY,507
15,7.04,7.04,7.04,7.04,7.04,2024-03-18 19:20:00,1,SPY,507
6,6.89,6.89,6.89,6.89,6.89,2024-03-18 19:25:00,1,SPY,507
7,6.9243,6.8,7.09,7.09,6.8,2024-03-18 19:30:00,3,SPY,507
29,6.59,6.59,6.59,6.59,6.59,2024-03-18 19:40:00,1,SPY,507
1,6.73,6.73,6.73,6.73,6.73,2024-03-18 19:45:00,1,SPY,507
42,5.8281,5.84,5.84,5.89,5.73,2024-03-18 19:55:00,5,SPY,507
769,6.5042,6.0,6.7,6.72,5.83,2024-03-18 13:30:00,82,SPY,508
64,6.628,6.75,6.44,6.75,6.39,2024-03-18 13:35:00,30,SPY,508
120,6.5244,6.46,6.45,6.74,6.45,2024-03-18 13:40:00,11,SPY,508
42,6.3133,6.55,6.23,6.72,6.23,2024-03-18 13:45:00,19,SPY,508
20,6.1855,6.06,6.2,6.2,6.06,2024-03-18 13:50:00,4,SPY,508
7,6.0357,6.05,6.04,6.05,5.96,2024-03-18 13:55:00,5,SPY,508
7,6.0129,6.0,6.08,6.08,6.0,2024-03-18 14:00:00,3,SPY,508
4,6.555,6.26,6.68,6.68,6.26,2024-03-18 14:05:00,4,SPY,508
16,6.8644,6.73,6.84,7.0,6.73,2024-03-18 14:10:00,5,SPY,508
4,7.0125,6.95,7.1,7.1,6.95,2024-03-18 14:20:00,3,SPY,508
11,7.4191,7.35,7.46,7.46,7.24,2024-03-18 14:25:00,4,SPY,508
1,7.1,7.1,7.1,7.1,7.1,2024-03-18 14:30:00,1,SPY,508
3,7.05,7.05,7.05,7.05,7.05,2024-03-18 14:35:00,1,SPY,508
10,7.145,7.17,7.24,7.24,7.13,2024-03-18 14:40:00,3,SPY,508
11,6.9045,6.95,6.9,6.95,6.9,2024-03-18 14:45:00,2,SPY,508
1,7.05,7.05,7.05,7.05,7.05,2024-03-18 14:50:00,1,SPY,508
4,7.06,7.06,7.06,7.06,7.06,2024-03-18 14:55:00,4,SPY,508
1,7.21,7.21,7.21,7.21,7.21,2024-03-18 15:00:00,1,SPY,508
3,7.01,7.01,7.01,7.01,7.01,2024-03-18 15:05:00,1,SPY,508
1,6.47,6.47,6.47,6.47,6.47,2024-03-18 15:15:00,1,SPY,508
4,6.635,6.54,6.73,6.73,6.54,2024-03-18 15:25:00,3,SPY,508
11,6.3573,6.43,6.35,6.43,6.35,2024-03-18 15:30:00,5,SPY,508
13,6.4593,6.18,6.54,6.54,6.18,2024-03-18 15:35:00,4,SPY,508
1,6.37,6.37,6.37,6.37,6.37,2024-03-18 15:40:00,1,SPY,508
1,6.25,6.25,6.25,6.25,6.25,2024-03-18 15:45:00,1,SPY,508
1,6.08,6.08,6.08,6.08,6.08,2024-03-18 16:05:00,1,SPY,508
6,6.2267,6.15,6.23,6.25,6.15,2024-03-18 16:10:00,3,SPY,508
4,6.3775,6.4,6.36,6.4,6.35,2024-03-18 16:15:00,4,SPY,508
2,6.265,6.3,6.23,6.3,6.23,2024-03-18 16:25:00,2,SPY,508
3,6.1333,6.14,6.12,6.14,6.12,2024-03-18 16:30:00,2,SPY,508
2,5.565,5.64,5.49,5.64,5.49,2024-03-18 17:00:00,2,SPY,508
11,5.85,5.85,5.85,5.85,5.85,2024-03-18 17:05:00,4,SPY,508
2,5.68,5.68,5.68,5.68,5.68,2024-03-18 17:10:00,2,SPY,508
2,5.6,5.6,5.6,5.6,5.6,2024-03-18 17:15:00,1,SPY,508
2,6.0,6.0,6.0,6.0,6.0,2024-03-18 17:20:00,1,SPY,508
4,6.155,6.15,6.16,6.16,6.15,2024-03-18 17:25:00,2,SPY,508
4,5.625,5.73,5.52,5.73,5.52,2024-03-18 17:35:00,2,SPY,508
35,5.4694,5.47,5.46,5.47,5.46,2024-03-18 17:40:00,3,SPY,508
3,5.5433,5.5,5.63,5.63,5.5,2024-03-18 17:45:00,3,SPY,508
5,5.584,5.66,5.51,5.66,5.51,2024-03-18 17:50:00,4,SPY,508
4,5.785,5.79,5.78,5.79,5.78,2024-03-18 17:55:00,2,SPY,508
4,5.7,5.7,5.7,5.7,5.7,2024-03-18 18:05:00,1,SPY,508
5,6.028,6.0,6.06,6.06,6.0,2024-03-18 18:10:00,3,SPY,508
1,6.02,6.02,6.02,6.02,6.02,2024-03-18 18:15:00,1,SPY,508
1,6.23,6.23,6.23,6.23,6.23,2024-03-18 18:25:00,1,SPY,508
2,6.25,6.25,6.25,6.25,6.25,2024-03-18 18:30:00,1,SPY,508
1,6.26,6.26,6.26,6.26,6.26,2024-03-18 18:35:00,1,SPY,508
1,5.3,5.3,5.3,5.3,5.3,2024-03-18 18:40:00,1,SPY,508
1,5.66,5.66,5.66,5.66,5.66,2024-03-18 18:55:00,1,SPY,508
7,5.93,5.93,5.93,5.93,5.93,2024-03-18 19:05:00,1,SPY,508
1,6.1,6.1,6.1,6.1,6.1,2024-03-18 19:15:00,1,SPY,508
10,5.846,5.82,6.04,6.04,5.76,2024-03-18 19:30:00,8,SPY,508
2,5.66,5.66,5.66,5.66,5.66,2024-03-18 19:40:00,1,SPY,508
4,5.745,5.81,5.68,5.81,5.68,2024-03-18 19:45:00,2,SPY,508
72,4.7042,4.84,4.68,4.93,4.68,2024-03-18 19:55:00,4,SPY,508
931,5.276,5.03,5.77,5.77,4.83,2024-03-18 13:30:00,226,SPY,509
224,5.6438,5.8,5.36,5.86,5.35,2024-03-18 13:35:00,83,SPY,509
123,5.6507,5.41,5.65,5.76,5.41,2024-03-18 13:40:00,28,SPY,509
110,5.4835,5.54,5.21,5.71,5.15,2024-03-18 13:45:00,25,SPY,509
62,5.2084,5.33,5.21,5.33,5.04,2024-03-18 13:50:00,10,SPY,509
58,5.0724,5.15,5.08,5.22,4.89,2024-03-18 13:55:00,20,SPY,509
70,5.1404,5.1,5.23,5.28,5.01,2024-03-18 14:00:00,15,SPY,509
71,5.2348,5.2,5.66,5.66,5.1,2024-03-18 14:05:00,18,SPY,509
83,5.8963,5.75,5.77,6.05,5.75,2024-03-18 14:10:00,20,SPY,509
11,5.8591,5.81,6.06,6.06,5.73,2024-03-18 14:15:00,9,SPY,509
29,6.0383,5.95,6.25,6.25,5.9,2024-03-18 14:20:00,13,SPY,509
25,6.3796,6.46,6.34,6.49,6.29,2024-03-18 14:25:00,10,SPY,509
11,6.0864,6.2,6.03,6.2,6.03,2024-03-18 14:30:00,6,SPY,509
6,6.1933,6.25,6.17,6.25,6.17,2024-03-18 14:35:00,3,SPY,509
43,6.1137,6.14,5.94,6.14,5.94,2024-03-18 14:40:00,4,SPY,509
2,6.025,6.01,6.04,6.04,6.01,2024-03-18 14:45:00,2,SPY,509
3,6.0267,6.01,6.02,6.05,6.01,2024-03-18 14:50:00,3,SPY,509
12,5.92,5.9,6.02,6.02,5.9,2024-03-18 14:55:00,2,SPY,509
2,5.955,5.92,5.99,5.99,5.92,2024-03-18 15:00:00,2,SPY,509
41,6.0483,6.05,5.98,6.05,5.98,2024-03-18 15:05:00,2,SPY,509
3,5.7433,5.77,5.69,5.77,5.69,2024-03-18 15:10:00,2,SPY,509
1,5.55,5.55,5.55,5.55,5.55,2024-03-18 15:15:00,1,SPY,509
1,5.68,5.68,5.68,5.68,5.68,2024-03-18 15:25:00,1,SPY,509
78,5.2312,5.75,5.05,5.75,5.03,2024-03-18 15:30:00,11,SPY,509
6,5.3667,5.18,5.49,5.49,5.18,2024-03-18 15:35:00,4,SPY,509
4,5.46,5.4,5.52,5.52,5.4,2024-03-18 15:40:00,2,SPY,509
4,5.32,5.32,5.32,5.32,5.32,2024-03-18 15:45:00,1,SPY,509
3,5.2,5.2,5.2,5.2,5.2,2024-03-18 15:50:00,1,SPY,509
6,5.29,5.3,5.26,5.31,5.26,2024-03-18 15:55:00,3,SPY,509
30,5.15,5.15,5.15,5.15,5.15,2024-03-18 16:00:00,1,SPY,509
4,5.38,5.38,5.38,5.38,5.38,2024-03-18 16:10:00,1,SPY,509
1,5.31,5.31,5.31,5.31,5.31,2024-03-18 16:15:00,1,SPY,509
1,5.33,5.33,5.33,5.33,5.33,2024-03-18 16:20:00,1,SPY,509
2,5.07,5.1,5.04,5.1,5.04,2024-03-18 16:30:00,2,SPY,509
1,5.14,5.14,5.14,5.14,5.14,2024-03-18 16:35:00,1,SPY,509
4,5.21,5.15,5.27,5.27,5.15,2024-03-18 16:40:00,2,SPY,509
1,4.91,4.91,4.91,4.91,4.91,2024-03-18 16:50:00,1,SPY,509
34,4.66,4.7,4.56,4.7,4.54,2024-03-18 16:55:00,5,SPY,509
9,4.6633,4.62,4.73,4.73,4.62,2024-03-18 17:00:00,3,SPY,509
7,4.7,4.7,4.7,4.7,4.7,2024-03-18 17:10:00,2,SPY,509
5,4.6,4.6,4.6,4.6,4.6,2024-03-18 17:15:00,1,SPY,509
4,4.935,4.78,5.0,5.0,4.78,2024-03-18 17:20:00,4,SPY,509
1,5.06,5.06,5.06,5.06,5.06,2024-03-18 17:25:00,1,SPY,509
2,4.57,4.57,4.57,4.57,4.57,2024-03-18 17:35:00,1,SPY,509
102,4.5261,4.58,4.57,4.58,4.48,2024-03-18 17:45:00,4,SPY,509
3,4.6833,4.72,4.61,4.72,4.61,2024-03-18 17:50:00,2,SPY,509
2,4.8,4.8,4.8,4.8,4.8,2024-03-18 18:05:00,2,SPY,509
2,5.03,5.01,5.05,5.05,5.01,2024-03-18 18:10:00,2,SPY,509
10,5.28,5.28,5.28,5.28,5.28,2024-03-18 18:25:00,1,SPY,509
10,4.6,4.97,4.56,4.97,4.31,2024-03-18 18:40:00,6,SPY,509
2,4.52,4.44,4.6,4.6,4.44,2024-03-18 18:45:00,2,SPY,509
1,4.75,4.75,4.75,4.75,4.75,2024-03-18 18:50:00,1,SPY,509
12,4.6783,4.65,4.82,4.82,4.65,2024-03-18 18:55:00,2,SPY,509
20,4.76,4.76,4.76,4.76,4.76,2024-03-18 19:00:00,2,SPY,509
4,4.885,4.62,5.16,5.16,4.62,2024-03-18 19:05:00,4,SPY,509
22,5.0682,4.98,5.06,5.1,4.98,2024-03-18 19:10:00,9,SPY,509
1,5.08,5.08,5.08,5.08,5.08,2024-03-18 19:15:00,1,SPY,509
5,4.874,4.9,4.85,4.93,4.8,2024-03-18 19:25:00,5,SPY,509
51,4.857,4.81,5.04,5.07,4.79,2024-03-18 19:30:00,27,SPY,509
5,4.98,4.98,4.98,4.98,4.98,2024-03-18 19:35:00,1,SPY,509
34,4.7735,4.79,4.79,4.79,4.65,2024-03-18 19:40:00,4,SPY,509
3,4.7867,4.8,4.76,4.8,4.76,2024-03-18 19:45:00,2,SPY,509
16,4.3012,4.59,4.0,4.59,4.0,2024-03-18 19:50:00,12,SPY,509
63,4.0703,3.87,4.09,4.09,3.53,2024-03-18 19:55:00,4,SPY,509
3904,4.3669,3.96,4.81,4.82,3.96,2024-03-18 13:30:00,873,SPY,510
932,4.6832,4.88,4.39,4.9,4.39,2024-03-18 13:35:00,254,SPY,510
413,4.6925,4.42,4.58,4.8,4.42,2024-03-18 13:40:00,102,SPY,510
380,4.4926,4.54,4.3,4.78,4.2,2024-03-18 13:45:00,107,SPY,510
263,4.3039,4.35,4.32,4.41,4.16,2024-03-18 13:50:00,61,SPY,510
201,4.1008,4.3,3.99,4.32,3.98,2024-03-18 13:55:00,64,SPY,510
188,4.1877,4.15,4.32,4.33,4.01,2024-03-18 14:00:00,42,SPY,510
42,4.4917,4.28,4.67,4.74,4.15,2024-03-18 14:05:00,26,SPY,510
238,4.8651,4.73,4.74,5.05,4.73,2024-03-18 14:10:00,52,SPY,510
25,4.86,4.87,4.93,5.02,4.78,2024-03-18 14:15:00,11,SPY,510
42,5.0778,4.98,5.25,5.25,4.96,2024-03-18 14:20:00,22,SPY,510
33,5.3939,5.34,5.38,5.5,5.25,2024-03-18 14:25:00,19,SPY,510
69,5.1164,5.3,5.1,5.3,5.01,2024-03-18 14:30:00,30,SPY,510
28,5.1036,5.01,5.15,5.27,5.01,2024-03-18 14:35:00,10,SPY,510
79,5.1816,5.2,5.01,5.26,5.01,2024-03-18 14:40:00,13,SPY,510
171,4.9787,5.04,5.22,5.22,4.85,2024-03-18 14:45:00,20,SPY,510
18,5.085,5.2,5.08,5.2,5.01,2024-03-18 14:50:00,10,SPY,510
105,5.0983,5.09,5.21,5.21,5.01,2024-03-18 14:55:00,15,SPY,510
67,5.0636,5.18,5.01,5.2,4.85,2024-03-18 15:00:00,18,SPY,510
44,4.9725,4.96,5.04,5.04,4.85,2024-03-18 15:05:00,15,SPY,510
29,4.6335,4.74,4.63,4.74,4.61,2024-03-18 15:10:00,7,SPY,510
22,4.4823,4.65,4.5,4.65,4.38,2024-03-18 15:15:00,14,SPY,510
